#,Line Plunge,Off Tackle,End Run,Draw,Screen,Short,Med,Long,T/E S/L,Fumble Recovery
10,OFF 10,12,6,4,OFF 10,DEF 15,DEF 15,INT 45,26,R
11,DEF 15,OFF 10,3,4,47,DEF 5X,12,41,PI 11,R
12,1,F - 1,DEF 5,OFF 10,OFF 5,3,13,OFF 5,F + 5,R
13,2,OFF 5,4,2,26,OFF 5,OFF 5,TD,1,R
14,OFF 5,6,5*,2,18,16,OFF 10,21,3*,R
15,,2,-10,3,INT -6,11,DEF 5X,29,5*,R
16,,1,F - 5,OFF 5,F - 1,4,11,DEF 5X,1,R
17,3,1,OFF 15,2,47,OFF 10,22,38*,QT,R
18,5,2,DEF 15,3,DEF 5,3,12*,OFF 15,1,R
19,OFF 15,OFF 15,4,OFF 15,OFF 15,OFF 15,PI 18,PI 32,PI 21,R
20,-1,2,5,F - 1,17,13,14,35,QT,R
21,1,1,3,,16,12,13,QT,DEF 5X,R
22,DEF 5,1,OFF 5,1,25,,F + 15,QT,14,R
23,1,1,2,2,,2,INT 18,OFF 10,13,R
24,2,2,B,2,3,4,11,INT 28,QT,R
25,,3*,2,1,5,8,QT,-2,R
26,1,,,1,15,F + 10,15,QT*,1,R
27,3,1,4,-1,10,-2,QT,QT,OFF 10,R
28,F - 2,DEF 5,3,2,4,14,PI 15,31,1,R
29,2,DEF 15,OFF 10,DEF 15,6,16,11*,DEF 15,2,R
30,1,1,2,DEF 5,7,4,13,,4,R
31,1,B,F,1,9,17,,,1,R
32,2,1,1,,,,,,R
33,B,2,1,2,,,,,,L
34,1,3,B,,,,,39*,,L
35,2,1,1,B,-2,,,,,L
36,1,2,2,1,,,,,,L
37,3,1,-1*,2,,3,,1,2,L
38,2,2,3,1,2,4,,,3,L
39,1,3,1,B,QT,PI 7,1,80,OFF 5,L
